grid_size,percent_obstruction,algorithm,success_rate,score,std_dev_score,collisions,movements,sensors
20,0.1,pomdp_both,0.9666666666666667,609196,219567,0,49,131
20,0.1,pomdp_both,0.9666666666666667,609196,219567,0,49,131
25,0.1,pomdp_both,0.9666666666666667,553720,173854,0,64,156
30,0.1,pomdp_both,0.9333333333333332,426833,233832,0,76,205
20,0.2,pomdp_both,0.7666666666666666,20926,562684,2,76,318
20,0.3,pomdp_both,0.7333333333333335,-151586,802919,2,102,359
30,0.2,pomdp_both,0.7000000000000001,-198253,724995,1,102,382
25,0.2,pomdp_both,0.6,-388440,776594,1,91,424
30,0.3,pomdp_both,0.7000000000000001,-288590,597435,4,107,387
25,0.3,pomdp_both,0.4,-930613,900008,3,104,601
