grid_size,percent_obstruction,algorithm,success_rate,score,std_dev_score,collisions,movements,sensors
20,0.1,greedy_both,0.8333333333333334,-1384193,2030130,0,40,304
20,0.1,greedy_both,0.8333333333333334,-1384193,2030130,0,40,304
20,0.2,greedy_both,0.6666666666666667,-2879586,3477124,1,44,437
25,0.1,greedy_both,0.6333333333333334,-3293466,2520487,0,46,495
30,0.1,greedy_both,0.7000000000000001,-2778409,3421441,0,58,477
25,0.2,greedy_both,0.5,-4357586,3782406,0,52,595
30,0.3,greedy_both,0.6,-3480276,3363063,3,74,556
30,0.2,greedy_both,0.6333333333333334,-3337469,3043953,0,62,529
20,0.3,greedy_both,0.6333333333333334,-3095889,2509282,1,54,469
25,0.3,greedy_both,0.46666666666666673,-4238350,2915553,1,77,602
