grid_size,percent_obstruction,algorithm,success_rate,score,std_dev_score,collisions,movements,sensors
20,0.1,mdp_both,1.0,778509,49861,1,261,39
20,0.1,mdp_both,1.0,778509,49861,1,261,39
20,0.2,mdp_both,0.9666666666666667,692279,139758,7,254,46
20,0.3,mdp_both,0.9000000000000001,583379,201858,8,331,52
25,0.1,mdp_both,0.9333333333333332,586506,122563,1,282,70
25,0.2,mdp_both,0.8666666666666666,451703,279666,3,352,83
25,0.3,mdp_both,0.8333333333333334,372953,78843,7,306,94
30,0.1,mdp_both,0.9666666666666667,191646,273386,1,274,177
30,0.2,mdp_both,0.8333333333333334,-497373,586333,5,278,285
30,0.3,mdp_both,0.7666666666666666,-753923,722680,6,355,320
