grid_size,percent_obstruction,algorithm,success_rate,score,std_dev_score,collisions,movements,sensors
20,0.1,pomdp_both,0.7,-364786,421183,0,203,543
20,0.1,pomdp_both,0.7,-364786,421183,0,203,543
20,0.3,pomdp_both,0.03333333333333333,-1541003,124542,0,235,762
20,0.2,pomdp_both,0.3,-1041476,328263,0,236,675
30,0.1,pomdp_both,0.2333333333333333,-1075273,399521,0,270,689
30,0.2,pomdp_both,0.03333333333333333,-1353603,121355,0,264,732
25,0.1,pomdp_both,0.4000000000000001,-938029,467064,0,231,690
25,0.3,pomdp_both,0.0,-1465963,63177,0,242,757
25,0.2,pomdp_both,0.16666666666666669,-1229453,200569,0,246,721
30,0.3,pomdp_both,0.0,-1415720,44669,0,251,748
